geoid,name,state,type,geoid_type,cdbg_fy25
18057,Hamilton County,IN,Urban County,county,1146153
1831000,Hammond,IN,Metro City,place,2043773
18097,Indianapolis,IN,Principal City,county,8860390
1838358,Jeffersonville,IN,Metro City,place,270412
1840392,Kokomo,IN,Principal City,place,725033
1842246,La Porte,IN,Principal City,place,438197
1840788,Lafayette,IN,Principal City,place,640832
18089,Lake County,IN,Urban County,county,1629279
1848798,Michigan,IN,Principal City,place,658791
1849932,Mishawaka,IN,Principal City,place,468014
1851876,Muncie,IN,Principal City,place,1242123
1852326,New Albany,IN,Metro City,place,691524
1871000,South Bend,IN,Principal City,place,2366486
1875428,Terre Haute,IN,Principal City,place,1423909
1882862,West Lafayette,IN,Principal City,place,436964
1901855,Ames,IA,Principal City,place,552927
1911755,Cedar Falls,IA,Principal City,place,278127
1912000,Cedar Rapids,IA,Principal City,place,1106823
1916860,Council Bluffs,IA,Principal City,place,983484
1919000,Davenport,IA,Principal City,place,1574080
1921000,Des Moines,IA,Principal City,place,3760013
1922395,Dubuque,IA,Principal City,place,1037080
1938595,Iowa,IA,Principal City,place,741332
19153,Polk County,IA,Urban County,county,846324
1973335,Sioux,IA,Principal City,place,1580662
1982425,Waterloo,IA,Principal City,place,1196041
1983910,West Des Moines,IA,Principal City,place,328144
20091,Johnson County,KS,Urban County,county,1393280
2036000,Kansas,KS,Principal City,place,2132228
2038900,Lawrence,KS,Principal City,place,752390
2039000,Leavenworth,KS,Metro City,place,369060
2044250,Manhattan,KS,Principal City,place,546884
2053775,Overland Park,KS,Principal City,place,690372
2064500,Shawnee,KS,Metro City,place,278072
2071000,Topeka,KS,Principal City,place,1791961
2079000,Wichita,KS,Principal City,place,2968869
2102368,Ashland,KY,Principal City,place,505838
2108902,Bowling Green,KY,Principal City,place,848543
2117848,Covington,KY,Metro City,place,1409780
2124274,Elizabethtown,KY,Principal City,place,208167
2135866,Henderson,KY,Metro City,place,231376
2137918,Hopkinsville,KY,Metro City,place,242872
2146027,Lexington-Fayette,KY,Principal City,place,2249391
21111,Louisville-Jefferson MCG,KY,Principal City,county,11301161
2158620,Owensboro,KY,Principal City,place,542893
2158836,Paducah,KY,Principal City,place,583406
2200975,Alexandria,LA,Principal City,place,489682
2205000,Baton Rouge,LA,Principal City,place,3313007
2208920,Bossier,LA,Principal City,place,558769
2232755,Hammond,LA,Principal City,place,230833
22109,Houma-Terrebonne,LA,Principal City,county,823641
22051,Jefferson Parish,LA,Urban County,county,2698293
2239475,Kenner,LA,Metro City,place,504335
2240735,Lafayette,LA,Principal City,place,1540451
2241155,Lake Charles,LA,Principal City,place,734086
2251410,Monroe,LA,Principal City,place,733589
2255000,New Orleans,LA,Principal City,place,12568463
2270000,Shreveport,LA,Principal City,place,1946439
2270805,Slidell,LA,Metro City,place,207836
22103,St. Tammany Parish,LA,Urban County,county,1335762
2275425,Thibodaux,LA,Principal City,place,141270
2302060,Auburn,ME,Principal City,place,485861
2302795,Bangor,ME,Principal City,place,833082
2304860,Biddeford,ME,Metro City,place,424428
23005,Cumberland County,ME,Urban County,county,1509068
2338740,Lewiston,ME,Principal City,place,788103
2360545,Portland,ME,Principal City,place,1807636
2401600,Annapolis,MD,Metro City,place,278182
24003,Anne Arundel County,MD,Urban County,county,2218569
2404000,Baltimore,MD,Principal City,place,20262880
24005,Baltimore County,MD,Urban County,county,4687766
2408775,Bowie,MD,Metro City,place,197940
2421325,Cumberland,MD,Principal City,place,786221
2430325,Frederick,MD,Principal City,place,444911
24021,Frederick County,MD,Urban County,county,722727
2431175,Gaithersburg,MD,Principal City,place,526482
2436075,Hagerstown,MD,Principal City,place,791400
24025,Harford County,MD,Urban County,county,1101617
24027,Howard County,MD,Urban County,county,1336389
24031,Montgomery County,MD,Urban County,county,5194196
24033,Prince Georges County,MD,Urban County,county,5806716
2469925,Salisbury,MD,Principal City,place,338056
2501640,Arlington,MA,Metro City,place,1057391
2502690,Attleboro,MA,Metro City,place,394424
2503690,Barnstable,MA,Principal City,place,291036
2507000,Boston,MA,Principal City,place,16948744
2509000,Brockton,MA,Metro City,place,1343941
2509210,Brookline,MA,Metro City,place,1368250
2511000,Cambridge,MA,Principal City,place,2638641
2513660,Chicopee,MA,Metro City,place,1130139
2521990,Everett,MA,Metro City,place,1048571
2523000,Fall River,MA,Metro City,place,2477723
2523875,Fitchburg,MA,Metro City,place,921520
2524960,Framingham,MA,Metro City,place,473889
2526150,Gloucester,MA,Metro City,place,684282
2529405,Haverhill,MA,Metro City,place,917780
2530840,Holyoke,MA,Metro City,place,1180479
2534550,Lawrence,MA,Metro City,place,1638713
2535075,Leominster,MA,Metro City,place,468404
2537000,Lowell,MA,Metro City,place,2079283
2537490,Lynn,MA,Metro City,place,2021026
2537875,Malden,MA,Metro City,place,1411157
2539835,Medford,MA,Metro City,place,1466160
2545000,New Bedford,MA,Metro City,place,2574063
2545560,Newton,MA,Principal City,place,1855699
2546330,Northampton,MA,Metro City,place,631073
2552490,Peabody,MA,Metro City,place,440876
2553960,Pittsfield,MA,Principal City,place,1221406
2554275,Plymouth Town,MA,Metro City,place,408450
2555745,Quincy,MA,Metro City,place,1841720
2556585,Revere,MA,Metro City,place,690800
2559105,Salem,MA,Metro City,place,1042346
2562535,Somerville,MA,Metro City,place,2477825
2567000,Springfield,MA,Principal City,place,3671092
2569170,Taunton,MA,Metro City,place,853983
2572600,Waltham,MA,Principal City,place,850450
2576030,Westfield,MA,Metro City,place,398805
2578972,Weymouth Town,MA,Metro City,place,681380
2582000,Worcester,MA,Principal City,place,4088940
2500182525,Yarmouth,MA,Metro City,cousub,136091
2605920,Battle Creek,MI,Principal City,place,1205390
2606020,Bay,MI,Principal City,place,1254300
2607520,Benton Harbor,MI,Principal City,place,382893
2616313120,Canton Twp,MI,Metro City,cousub,379148
2616480,Clinton Twp,MI,Metro City,place,585695
2621000,Dearborn,MI,Principal City,place,1865278
2621020,Dearborn Heights,MI,Metro City,place,998836
2622000,Detroit,MI,Principal City,place,32283682
2624120,East Lansing,MI,Principal City,place,401429
2627440,Farmington Hills,MI,Principal City,place,358837
2629000,Flint,MI,Principal City,place,3588954
26049,Genesee County,MI,Urban County,county,1820353
2634000,Grand Rapids,MI,Principal City,place,3754702
2638640,Holland,MI,Metro City,place,333432
2641420,Jackson,MI,Principal City,place,1205801
