geoid,safmr_median,n_zips
4876000,1340.0,97
4857176,2070.0,47
4864472,1280.0,60
4835000,1570.0,1545
4856000,1370.0,73
4848804,1960.0,51
4856348,1590.0,63
4816432,1500.0,67
4872392,1380.0,32
4841980,1880.0,54
4806128,1470.0,41
4828068,1510.0,35
4854132,1100.0,20
4858820,1115.0,50
4807000,1120.0,62
4810912,1260.0,52
4815976,1220.0,46
4875428,1360.0,41
4865000,1500.0,639
4841464,1150.0,91
4850820,1640.0,50
4865600,1540.0,32
4817000,1380.0,172
4845384,1060.0,92
4848768,1010.0,51
4857200,1020.0,31
4822660,990.0,46
4810768,940.0,87
4865036,930.0,20
4832372,950.0,52
4805000,2050.0,439
4839952,1950.0,20
4863500,2075.0,80
4821892,930.0,12
4803000,1200.0,107
4845000,1180.0,150
4848072,1850.0,71
4801000,1200.0,77
4853388,1655.0,68
4824000,1190.0,234
0803455,2010.0,76
0883835,2290.0,63
0804000,2050.0,164
0820000,2180.0,303
0809280,2290.0,29
0816495,2000.0,38
0877290,2290.0,73
0807850,2140.0,62
0845970,2030.0,43
0843000,2000.0,89
0812415,2380.0,33
0816000,1750.0,237
0846465,1730.0,41
0827425,1610.0,75
0832155,1565.0,60
0862000,1200.0,65
0831660,1320.0,55
5613900,1120.0,48
1664090,1090.0,35
1639700,1260.0,40
1682810,1250.0,20
1646540,1170.0,11
1612250,1725.0,30
1656260,1760.0,44
1608830,1940.0,134
1652120,2170.0,58
1616750,1450.0,28
4944320,1760.0,38
4920810,1840.0,13
4970850,2110.0,32
4982950,1970.0,57
4913850,1600.0,28
4943660,1600.0,54
4967440,2080.0,55
4957300,1340.0,51
4983470,1710.0,55
4967000,1740.0,122
4962470,1290.0,59
4975360,1710.0,31
4955980,1390.0,51
4945860,1125.0,34
4965330,1520.0,43
0455000,1870.0,614
0465000,2620.0,113
0427820,1900.0,110
0454050,2060.0,99
0473000,2140.0,64
0446000,1930.0,205
0410530,1690.0,29
0444270,1890.0,43
0404720,2150.0,39
0428380,2300.0,40
0427400,2480.0,102
0412000,2390.0,96
0457450,1690.0,41
0471510,2260.0,67
0485540,1380.0,46
0477000,1370.0,252
0420050,970.0,10
0466820,1345.0,26
0423620,2050.0,44
0457380,1735.0,42
3563460,1570.0,46
3502000,1300.0,253
3525800,1100.0,27
3570500,1620.0,59
3539380,1040.0,67
3231900,2060.0,116
3240000,1750.0,225
3251800,1760.0,97
3260600,1680.0,147
3268400,2000.0,67
3209700,1460.0,24
0644000,2630.0,1792
0648816,2340.0,22
0648914,2290.0,23
0600884,2510.0,33
0656000,2980.0,79
0636546,2340.0,51
0632548,2340.0,43
0670000,3310.0,40
0636056,2290.0,15
0615044,2290.0,45
0644574,2290.0,21
0611530,2560.0,30
0619766,2490.0,42
0656924,2500.0,19
0652526,2450.0,26
0628168,2310.0,22
0680000,3000.0,50
0660018,3130.0,18
0673080,2290.0,23
0678582,3130.0,46
0655618,2300.0,13
0685292,2540.0,55
0608786,2730.0,39
0602000,2520.0,156
0628000,2520.0,79
0639892,3370.0,29
0629000,2510.0,97
0639290,2510.0,26
0662896,2290.0,25
0604982,2380.0,22
0643000,2400.0,158
0636000,2900.0,67
0669088,3110.0,101
0622230,2290.0,43
0630000,2920.0,78
0608954,2910.0,45
0672016,3100.0,43
0655156,2290.0,61
0640130,2290.0,64
0659451,3290.0,55
0630014,2940.0,24
0603666,2290.0,24
0684200,2860.0,49
0613210,2690.0,31
0613214,3460.0,19
0658072,2290.0,53
0653896,2710.0,52
0681344,2770.0,24
0624680,2310.0,74
0665000,1940.0,139
0637692,2240.0,37
0613392,2660.0,93
0666000,2930.0,536
0650398,2150.0,26
0640004,2800.0,28
0621712,2440.0,51
0653322,2920.0,71
0682996,2680.0,55
0622678,3520.0,44
0611194,3520.0,45
0668196,2700.0,45
0670224,2700.0,28
0622804,2570.0,62
0678120,3120.0,42
0636448,1910.0,43
0612048,2160.0,32
0655254,2220.0,39
0649270,2580.0,69
0621782,1330.0,16
0682590,2130.0,53
0602364,1810.0,29
0662000,2480.0,134
0660466,2190.0,51
0633434,1890.0,34
0616350,2810.0,65
0656700,2590.0,37
0646842,3150.0,44
0633182,1990.0,59
0636770,3530.0,74
0653980,2830.0,81
0680854,2720.0,44
0669000,2510.0,121
0616532,3120.0,49
0639248,3360.0,25
0639496,3090.0,26
0648256,3260.0,46
0651182,4080.0,43
0665084,2900.0,23
0600947,3420.0,16
0625380,3110.0,27
0684550,2510.0,45
0659587,3250.0,21
0665042,2570.0,48
0654652,2200.0,65
0610046,2710.0,23
0669070,3180.0,64
0630378,3030.0,19
0642524,2700.0,18
0603526,1380.0,186
0680644,1490.0,20
0618394,1250.0,20
0682954,1490.0,50
0631960,1400.0,16
0658240,1390.0,28
0669196,2700.0,40
0627000,1480.0,255
0646898,1460.0,39
