Jurisdiction,State,lat,lon,Outcome,CDBG ($),Adjustment ($),Net homes added
Santa Maria,CA,34.933076,-120.443559,Exempt — recent disaster,1404326,0,270.0
Santa Monica,CA,34.010911,-118.498245,Exempt — recent disaster,1114932,0,893.0
Santa Rosa,CA,38.445824,-122.706181,Exempt — recent disaster,1286368,0,421.0
Santee,CA,32.85499,-116.986056,Exempt — recent disaster,375277,0,226.0
Seaside,CA,36.625058,-121.817804,Exempt — recent disaster,304867,0,-89.0
Simi Valley,CA,34.266887,-118.748458,Exempt — recent disaster,657452,0,-81.0
Sonoma County,CA,38.525182,-122.92611,Exempt — recent disaster,1652484,0,1380.0
South Gate,CA,33.944159,-118.192761,Exempt — recent disaster,1192638,0,303.0
South San Francisco,CA,37.655104,-122.376234,Exempt — recent disaster,456319,0,321.0
Stanislaus County,CA,37.562316,-121.002831,Exempt — recent disaster,2302867,0,909.0
Stockton,CA,37.976553,-121.308598,Exempt — recent disaster,3229216,0,207.0
Sunnyvale,CA,37.385797,-122.026316,Exempt — recent disaster,1038891,0,1431.0
Temecula,CA,33.493073,-117.131734,Exempt — recent disaster,606465,0,947.0
Thousand Oaks,CA,34.19329,-118.874235,Exempt — recent disaster,648249,0,-11.0
Torrance,CA,33.830453,-118.356618,Exempt — recent disaster,947578,0,-127.0
Tulare,CA,36.200246,-119.339775,Exempt — recent disaster,714971,0,472.0
Turlock,CA,37.505524,-120.859269,Exempt — recent disaster,636784,0,108.0
Tustin,CA,33.73092,-117.810599,Exempt — recent disaster,725229,0,736.0
Union,CA,37.602759,-122.01884,Exempt — recent disaster,474879,0,-22.0
Upland,CA,34.116073,-117.659922,Exempt — recent disaster,612647,0,100.0
Vacaville,CA,38.358621,-121.968601,Exempt — recent disaster,527680,0,-343.0
Vallejo,CA,38.106909,-122.262339,Exempt — recent disaster,991521,0,689.0
Ventura County,CA,34.358748,-119.133145,Exempt — recent disaster,1454583,0,703.0
Victorville,CA,34.527735,-117.353579,Exempt — recent disaster,1409225,0,1071.0
Visalia,CA,36.32803,-119.328519,Exempt — recent disaster,1139838,0,555.0
Vista,CA,33.189528,-117.238582,Exempt — recent disaster,976361,0,947.0
Walnut Creek,CA,37.902666,-122.040479,Exempt — recent disaster,401430,0,771.0
Watsonville,CA,36.923587,-121.772395,Exempt — recent disaster,634804,0,-2.0
West Covina,CA,34.055941,-117.909937,Exempt — recent disaster,819862,0,477.0
West Sacramento,CA,38.554368,-121.548663,Exempt — recent disaster,546333,0,544.0
Westminster,CA,33.752292,-117.993868,Exempt — recent disaster,970291,0,165.0
Whittier,CA,33.966827,-118.020122,Exempt — recent disaster,641146,0,549.0
Woodland,CA,38.67116,-121.750043,Exempt — recent disaster,473643,0,289.0
Yuba,CA,39.129842,-121.641549,Exempt — recent disaster,585041,0,125.0
Adams County,CO,39.874325,-104.331872,Gains funding,1233556,166992,1426.0
Arapahoe County,CO,39.644554,-104.331706,Exempt — recent disaster,1283130,0,1471.0
Arvada,CO,39.833728,-105.150306,Exempt — recent disaster,451371,0,514.0
Aurora,CO,39.709537,-104.720509,Exempt — recent disaster,2702077,0,2135.0
Boulder City,CO,40.024431,-105.251251,Gains funding,869873,81955,700.0
Broomfield /County,CO,39.953593,-105.050787,Loses funding,284341,-28434,941.0
Castle Rock,CO,39.376194,-104.852922,Exempt — recent disaster,277742,0,1335.0
Colorado Springs,CO,38.867255,-104.760749,Exempt — recent disaster,2854333,0,4275.0
Commerce,CO,39.882792,-104.794908,Gains funding,469128,117546,1004.0
Denver,CO,39.76185,-104.881105,Loses funding,6585718,-658572,6988.0
El Paso County,CO,38.827383,-104.527472,Exempt — recent disaster,1087577,0,6729.0
Fort Collins,CO,40.548216,-105.064833,Loses funding,1152451,-115245,1226.0
Grand Junction,CO,39.089062,-108.567452,Loses funding,407684,-40768,741.0
Greeley,CO,40.416576,-104.77328,Loses funding,846546,-84655,650.0
Jefferson County,CO,39.579511,-105.245462,Exempt — recent disaster,1009071,0,1170.0
Lakewood,CO,39.698939,-105.117573,Exempt — recent disaster,911186,0,547.0
Longmont,CO,40.168199,-105.100522,Loses funding,488849,-48885,1093.0
Loveland,CO,40.416905,-105.063111,Loses funding,377934,-37793,-187.0
Pueblo,CO,38.269228,-104.610816,Exempt — other screens,1432469,0,404.0
Thornton,CO,39.920433,-104.941413,Loses funding,811771,-81177,1162.0
Weld County,CO,40.555961,-104.383666,Loses funding,1251662,-125166,4578.0
Westminster,CO,39.880122,-105.061513,Exempt — recent disaster,563889,0,305.0
Bridgeport,CT,41.187393,-73.195757,Exempt — recent disaster,3100412,0,168.0
Bristol,CT,41.681578,-72.940749,Gains funding,539149,0,-375.0
Danbury,CT,41.398741,-73.478103,Exempt — recent disaster,590036,0,150.0
East Hartford,CT,41.760695,-72.607646,Gains funding,515368,0,-91.0
Fairfield,CT,41.17594,-73.272046,Exempt — recent disaster,441600,0,102.0
Greenwich,CT,41.027773,-73.626931,Exempt — recent disaster,723939,0,57.0
Hamden Town,CT,41.397329,-72.922226,Exempt — recent disaster,458833,0,1.0
Hartford,CT,41.765933,-72.681579,Loses funding,3476365,-347636,-191.0
Manchester,CT,41.77963,-72.520157,Gains funding,566960,36645,313.0
Meriden,CT,41.536777,-72.794543,Exempt — recent disaster,927552,0,-219.0
Middletown,CT,41.548611,-72.656784,Gains funding,502177,0,-521.0
Milford Town,CT,41.223644,-73.064556,Exempt — recent disaster,518282,0,173.0
New Britain,CT,41.676555,-72.786161,Exempt — other screens,1554807,0,-434.0
New Haven,CT,41.310809,-72.924953,Exempt — recent disaster,3446062,0,707.0
New London,CT,41.332957,-72.096176,Exempt — recent disaster,791387,0,223.0
Norwalk,CT,41.092739,-73.419796,Exempt — recent disaster,831261,0,91.0
Norwich,CT,41.548006,-72.089454,Exempt — recent disaster,838095,0,2.0
Shelton,CT,41.304577,-73.139215,Exempt — recent disaster,181656,0,349.0
Stamford,CT,41.079611,-73.54608,Exempt — recent disaster,989095,0,697.0
Stratford,CT,41.205688,-73.127986,Exempt — recent disaster,586729,0,-217.0
Waterbury,CT,41.5585,-73.036685,Exempt — recent disaster,2176880,0,-621.0
West Hartford,CT,41.766568,-72.754944,Loses funding,995108,-99511,-387.0
West Haven,CT,41.272121,-72.967497,Exempt — recent disaster,615097,0,89.0
Dover,DE,39.160602,-75.521659,Exempt — other screens,321933,0,-211.0
New Castle County,DE,39.575915,-75.644132,Gains funding,2509120,149857,1280.0
Wilmington,DE,39.735651,-75.532104,Exempt — other screens,2261378,0,-258.0
Boca Raton,FL,26.37269,-80.103711,Exempt — recent disaster,516588,0,317.0
Boynton Beach,FL,26.528334,-80.080722,Exempt — recent disaster,518962,0,-10.0
Bradenton,FL,27.489798,-82.576804,Exempt — recent disaster,447763,0,906.0
Brevard County,FL,28.298311,-80.700333,Exempt — recent disaster,1350422,0,1903.0
Broward County,FL,26.193535,-80.476683,Exempt — recent disaster,3978959,0,-1207.0
Cape Coral,FL,26.643192,-81.997364,Exempt — recent disaster,1110919,0,4765.0
Clay County,FL,29.986584,-81.865036,Exempt — recent disaster,1060250,0,1871.0
Clearwater,FL,27.979419,-82.771256,Exempt — recent disaster,925886,0,32.0
Cocoa,FL,28.376643,-80.763306,Exempt — recent disaster,105087,0,122.0
Collier County,FL,26.118786,-81.400955,Exempt — recent disaster,2677254,0,4673.0
Coral Springs,FL,26.270722,-80.259301,Exempt — recent disaster,794085,0,493.0
Crestview,FL,30.747932,-86.579275,Exempt — recent disaster,164652,0,451.0
Davie,FL,26.079169,-80.283013,Exempt — recent disaster,714145,0,896.0
Daytona Beach,FL,29.19071,-81.097083,Exempt — recent disaster,619516,0,1796.0
Deerfield Beach,FL,26.311716,-80.125378,Exempt — recent disaster,721028,0,269.0
Delray Beach,FL,26.455903,-80.09042,Exempt — recent disaster,457791,0,430.0
Deltona,FL,28.905121,-81.210978,Exempt — recent disaster,528176,0,578.0
Escambia County,FL,30.529998,-87.320322,Exempt — recent disaster,1806149,0,1120.0
Fort Pierce,FL,27.426112,-80.342488,Exempt — recent disaster,574680,0,163.0
Fort Walton Beach,FL,30.424904,-86.621762,Exempt — recent disaster,132070,0,13.0
Ft Lauderdale,FL,26.141227,-80.146731,Exempt — recent disaster,1518117,0,457.0
Ft Myers,FL,26.61982,-81.831673,Exempt — recent disaster,738136,0,1916.0
Gainesville,FL,29.679537,-82.346793,Exempt — recent disaster,1442129,0,367.0
Hernando County,FL,28.555995,-82.525969,Exempt — recent disaster,1137403,0,1544.0
Hialeah,FL,25.869941,-80.302865,Exempt — recent disaster,2427498,0,-570.0
Hillsborough County,FL,27.893154,-82.379991,Exempt — recent disaster,7456094,0,7123.0
Hollywood,FL,26.030967,-80.164609,Exempt — recent disaster,1249460,0,290.0
Homestead,FL,25.466694,-80.444342,Exempt — recent disaster,878963,0,733.0
Jacksonville,FL,30.335245,-81.648113,Exempt — recent disaster,6940619,0,8802.0
Jupiter,FL,26.918551,-80.11694,Exempt — recent disaster,312843,0,-3.0
Kissimmee,FL,28.30278,-81.417831,Exempt — recent disaster,1000854,0,384.0
Lake County,FL,28.764113,-81.712282,Exempt — recent disaster,1848798,0,4109.0
